state,white_pct,black_pct,hispanic_pct,pct_change_apps
Alabama,0.6571305820732299,0.26583166827006094,0.04175937574516721,-0.04462967478773637
Alaska,0.6103510282783311,0.03267227791950344,0.06930926344182116,-0.03197139938712972
Arizona,0.5507498900554725,0.04394311819234642,0.3114164525957345,-0.017490557012552164
Arkansas,0.7268766775081579,0.15413597818014754,0.07324510118297867,-0.0429364803887539
California,0.37538445662135916,0.05792967644441357,0.38881377085762103,-0.024953496222659386
Colorado,0.6830800371930493,0.041209942035467906,0.21420426635300022,-0.01662130314999834
Connecticut,0.6753296938939619,0.10561540626507747,0.1568589620449956,-0.019869692549002404
Delaware,0.6273050411007957,0.22105645632678425,0.09090621856881816,-0.03720405862457723
District of Columbia,0.3623925855152243,0.469419925259095,0.10924210151088827,-0.04247089460784314
Florida,0.5435858550134068,0.16100367125399048,0.2517081761609629,-0.01721486748306059
Georgia,0.5318232104075131,0.31457198671054015,0.0940485073829685,-0.00416678458406234
Hawaii,0.2211881754872791,0.01847079068007755,0.10404991740674768,0.039506269900546405
Idaho,0.8221629343130651,0.00683489660263691,0.12387242869305709,-0.030649256438157416
Illinois,0.6157070426331652,0.14227082843758415,0.16962465459376547,-0.023983260439236008
Indiana,0.7947601977031458,0.09333015539457615,0.0678375924643077,-0.007002410825383658
Iowa,0.8606189499182602,0.035087321655968604,0.05851430439403173,-0.020267494408180035
Kansas,0.761331570392495,0.05837541288844517,0.1170994260128659,-0.03940600295545022
Kentucky,0.8477272665850488,0.07975129070646304,0.03575151051618349,-0.025250776636865944
Louisiana,0.5884414583018842,0.3222640972155512,0.0503729295036298,-0.02375539313225241
Maine,0.9337581491176932,0.013415985588375864,0.01607202210662711,-0.04101803805287867
Maryland,0.5138504872627088,0.29784448403289115,0.0980958401315247,-0.03075548372048712
Massachusetts,0.7218554439091253,0.07475015713318789,0.11553509542116892,-0.0333832655681575
Michigan,0.7521345745031277,0.1381296166262013,0.05000226964873068,-0.06190483239615033
Minnesota,0.802928089694932,0.06190769622666019,0.05296635390723742,-0.03854283521284761
Mississippi,0.567777561411715,0.376689077283504,0.030277753799064628,-0.0326404833836858
Missouri,0.7961051956449704,0.11574529126304461,0.040903524463297744,-0.03867481133334322
Montana,0.8629407563557614,0.0044445212396278504,0.03745589076653112,-0.034627408020947444
Nebraska,0.793965643965644,0.0477015477015477,0.10672263172263172,-0.006067285245357697
Nevada,0.4988601874404049,0.08933851868502272,0.28451589527888715,0.02753434726069995
New Hampshire,0.9039350353001068,0.015269175407964443,0.03598928865410063,-0.02533774519661432
New Jersey,0.5584430937491028,0.1347427251882914,0.19905999260288826,-0.023846526701545644
New Mexico,0.37674210990645346,0.020553097493158683,0.485439923075232,-0.016800270972112452
New York,0.5586339554907821,0.15638842675311862,0.18888278295949226,-0.025826890720507742
North Carolina,0.6334459605830227,0.21462216403443057,0.09216075742859325,-0.02230340897470088
North Dakota,0.8501411191955341,0.027180235070147475,0.03526849871244521,-0.005979972400127384
Ohio,0.7920231777018125,0.12354285764351271,0.037049603418829555,-0.03489143632939107
Oklahoma,0.6600356240733798,0.07349385690188985,0.10400886952140775,-0.013602042744053676
Oregon,0.7603136545512762,0.01905685601195313,0.12835946018844457,-0.04800471703360886
Pennsylvania,0.7682531425362521,0.1112734625520505,0.07076406783705116,-0.039038630522782336
Rhode Island,0.7265937984745569,0.06554351601488154,0.15034672173581384,-0.026898484370066308
South Carolina,0.6370098417550709,0.2702542915802802,0.055627355135519606,-0.031452332188160674
South Dakota,0.8224216668267211,0.018791168231922423,0.03701886753157798,-0.028237410071942446
Tennessee,0.7403516927829412,0.16801594445661455,0.05298410530967185,-0.03063505522458733
Texas,0.4234240786194968,0.12070143314400347,0.3916614533267564,0.011923021745507544
Utah,0.7861946902654867,0.011775986339829576,0.13861231057185544,0.010406811731315043
Vermont,0.9296710118932376,0.012893274472500589,0.01868388756706247,-0.04274699203524826
Virginia,0.6219695228324412,0.19174332469590935,0.09165649089219653,-0.02080112259216737
Washington,0.690838480706126,0.03699500543983716,0.12496997670521347,-0.023425829809858977
West Virginia,0.9211078513810964,0.036482247106974425,0.015047122720269604,-0.026532253879287974
Wisconsin,0.8152850082566194,0.06381427088564746,0.06676232184928892,-0.0387711641048348
Wyoming,0.8414037632597502,0.009521583401508328,0.097907314088506045,0.025806749457550435
