state,hhi_0_24999_pct,hhi_25k_49999_pct,hhi_200k_plus_pct,pct_change_apps
Alabama,0.10355562955836767,0.09226937845860365,0.014287476257431115,-0.04462967478773637
Alaska,0.0465365679281153,0.059968910626174654,0.02726278103656522,-0.03197139938712972
Arizona,0.07568055842462988,0.08642913850275347,0.019245438651673424,-0.017490557012552164
Arkansas,0.10437457012155466,0.10312668962918355,0.012602522978956896,-0.0429364803887539
California,0.05788221644823489,0.06229558739536067,0.03629877421404918,-0.024953496222659386
Colorado,0.06072942273574295,0.07739632744853187,0.030062874911342886,-0.01662130314999834
Connecticut,0.061530854076946445,0.06787036954307464,0.04534687103518522,-0.019869692549002404
Delaware,0.06379812426605722,0.08021737871184156,0.02476474336357748,-0.03720405862457723
District of Columbia,0.0822953463706249,0.058359556930772626,0.06916309470590126,-0.04247089460784314
Florida,0.0816117902690141,0.09252063985003693,0.019858007560780128,-0.01721486748306059
Georgia,0.07918701306066608,0.08379580876260648,0.020895492530019953,-0.00416678458406234
Hawaii,0.04669806311966915,0.054053749958685796,0.02994172411392454,0.039506269900546405
Idaho,0.07794720848152842,0.09373987222487852,0.013226022612748243,-0.030649256438157416
Illinois,0.07335266700916437,0.07746154758683794,0.02867800850399918,-0.023983260439236008
Indiana,0.08155450621973036,0.09559262882930823,0.014562422240187688,-0.007002410825383658
Iowa,0.07783913099413599,0.09352788300969929,0.016986437984497362,-0.020267494408180035
Kansas,0.07572085303234075,0.0934551165163629,0.01878006419194878,-0.03940600295545022
Kentucky,0.10273041508903645,0.09715949987883439,0.013754097784696379,-0.025250776636865944
Louisiana,0.10445178162181448,0.0877848862342011,0.015971083382508338,-0.02375539313225241
Maine,0.0912273514739127,0.09775489884927593,0.01722072038613069,-0.04101803805287867
Maryland,0.049788329514686175,0.06071773909436847,0.04273370162248779,-0.03075548372048712
Massachusetts,0.06658172031156367,0.06332105110353398,0.04563267831523941,-0.0333832655681575
Michigan,0.08514998963594031,0.0940823629413362,0.01878224708882401,-0.06190483239615033
Minnesota,0.06306973422021878,0.07971312876784895,0.027871724610564395,-0.03854283521284761
Mississippi,0.11111590685374077,0.09431697806650378,0.009959976739532956,-0.0326404833836858
Missouri,0.08652801892657251,0.0980794612600003,0.017193585221299882,-0.03867481133334322
Montana,0.09053192183786232,0.10351702741204072,0.016260420146448414,-0.034627408020947444
Nebraska,0.07406024906024906,0.09334299334299334,0.017677292677292678,-0.006067285245357697
Nevada,0.07104267103774434,0.08903504765384733,0.017332061971042638,0.02753434726069995
New Hampshire,0.05644667919995356,0.07377893484923587,0.03314920416605265,-0.02533774519661432
New Jersey,0.05757328573061115,0.061047451289681365,0.046920093741784505,-0.023846526701545644
New Mexico,0.10073722755413074,0.09070967112941197,0.013793983466145169,-0.016800270972112452
New York,0.07723631419867816,0.0713629153124357,0.03633314002893093,-0.025826890720507742
North Carolina,0.0882808382823153,0.09628044519962535,0.018899478751871868,-0.02230340897470088
North Dakota,0.07588663136581844,0.09018733024816505,0.02324245780050811,-0.005979972400127384
Ohio,0.08896390350732901,0.09530093896354704,0.017921935110303072,-0.03489143632939107
Oklahoma,0.08850047867136857,0.09505818709248809,0.015118154367751817,-0.013602042744053676
Oregon,0.07691141204078548,0.0887253937646851,0.022337401575671195,-0.04800471703360886
Pennsylvania,0.08027421392911256,0.08696984273774251,0.023672794560564814,-0.039038630522782336
Rhode Island,0.08211442053887381,0.07648320905233809,0.02599442935952777,-0.026898484370066308
South Carolina,0.09211499366919394,0.09555875038464061,0.015461896618693786,-0.031452332188160674
South Dakota,0.07797854652783964,0.09719896932623232,0.015490189045562305,-0.028237410071942446
Tennessee,0.09294628293201308,0.0967261150767942,0.01662645019484779,-0.03063505522458733
Texas,0.0685220956855421,0.07677844820522145,0.023581043632651663,0.011923021745507544
Utah,0.044250742935951534,0.06533272037696816,0.017999244750192916,0.010406811731315043
Vermont,0.0813933952769462,0.09186898077849265,0.020613558578955707,-0.04274699203524826
Virginia,0.060760129758655274,0.07066709897365915,0.03738203569527777,-0.02080112259216737
Washington,0.06087490348676014,0.0753684776791198,0.032109982320529244,-0.023425829809858977
West Virginia,0.1141814293071719,0.10457865104037388,0.010724669692638926,-0.026532253879287974
Wisconsin,0.07688295398340785,0.09480038917387773,0.017939413615617072,-0.0387711641048348
Wyoming,0.07214060319402718,0.08860056785760936,0.0163534054269588,0.025806749457550435
